date,pre,hum,tem,occ
31/05/2020 19:55,94996.12,55.45,29.9,L
04/06/2020 06:25,94586.66,60.4,30.23,L
24/05/2020 12:25,94260.67,53.12,31.39,M
28/05/2020 02:30,94440.82,54.76,31.09,L
29/05/2020 04:30,95103.15,53.03,31.11,L
28/05/2020 10:10,94837.37,60.46,30.26,L
28/05/2020 09:45,94829.21,61.13,30.11,L
01/06/2020 03:15,95093.88,58.68,29.73,L
01/06/2020 04:45,95084.77,57.84,29.57,L
28/05/2020 12:45,94904.84,56.07,30.45,E
01/06/2020 02:15,95132.91,56.89,29.71,L
01/06/2020 03:05,95086.9,58.63,29.74,L
04/06/2020 15:25,94498.25,55.6,31.11,L
27/05/2020 03:10,94770.73,56.82,29.68,L
04/06/2020 20:55,94495.65,47.72,31.27,M
01/06/2020 11:30,95227.23,60.71,28.63,L
29/05/2020 04:20,95046.41,52.93,31.09,L
25/05/2020 23:55,94301.11,51.85,31.45,H
27/05/2020 06:10,94747.61,56.18,29.57,L
24/05/2020 12:40,94247.22,54.26,31.63,M
04/06/2020 06:05,94572.96,59.77,30.49,L
04/06/2020 15:35,94489.25,56.04,31.11,L
28/05/2020 11:35,94827.1,58.19,30.57,E
04/06/2020 03:15,94589.34,55.36,30.61,L
28/05/2020 06:35,94639.58,57.13,30.9,L
01/06/2020 07:35,95099.06,62.63,26.8,E
28/05/2020 05:35,94732.55,56.93,30.91,L
29/05/2020 03:45,94972.88,52.3,31.12,L
04/06/2020 22:20,94558.64,55.68,31.41,E
04/06/2020 11:55,94681.35,60.14,30.74,L
26/05/2020 04:35,94473.33,50.11,30.37,L
01/06/2020 05:30,95039.43,57.5,29.45,L
29/05/2020 05:40,95018.1,53.3,31.03,L
27/05/2020 01:40,94842.77,58.76,28.83,L
27/05/2020 07:10,94767.54,58.04,28.79,E
01/06/2020 06:10,95058.93,57.32,29.39,L
14/05/2020 21:25,94274.32,55.42,30.9,L
04/06/2020 04:50,94581.97,59.23,30.54,L
28/05/2020 09:20,94809.95,62.58,29.77,L
04/06/2020 14:00,94579.7,51.48,30.64,L
04/06/2020 12:15,94680.11,60.29,30.66,L
04/06/2020 11:00,94696.63,60.15,30.55,L
28/05/2020 23:55,95042.17,43.67,32.06,L
29/05/2020 04:35,95119.42,53.15,31.08,L
04/06/2020 03:45,94587.1,57.35,30.61,L
04/06/2020 12:10,94677.12,60.23,30.69,L
29/05/2020 01:20,95473.75,52.37,30.8,L
04/06/2020 13:00,94647.26,60.17,30.8,L
27/05/2020 01:10,94870.16,59.83,28.32,L
27/05/2020 01:50,94837.86,58.24,29.18,L
28/05/2020 09:55,94821.3,61.02,30.16,L
28/05/2020 04:40,94624.5,56.52,30.97,L
27/05/2020 01:35,94848.21,59.8,28.32,L
25/05/2020 20:20,93855.7,43.12,32.5,L
29/05/2020 06:15,95031.05,53.65,30.93,L
04/06/2020 21:35,94529.21,45.44,31.08,L
14/05/2020 22:10,94301.55,56.15,30.92,L
01/06/2020 03:35,95074.56,58.67,29.7,L
28/05/2020 07:05,94615.18,58.27,30.45,L
29/05/2020 05:30,95025.53,53.28,31.02,L
04/06/2020 19:25,94409.9,52.68,31.5,M
25/05/2020 23:40,94216.44,51.37,32.39,H
04/06/2020 21:15,94500.7,46.03,31.12,E
01/06/2020 05:25,95044.83,57.45,29.45,L
01/06/2020 08:35,95181.05,67.62,25.61,E
01/06/2020 11:00,95237.52,61.73,28.38,E
26/05/2020 02:35,94206.74,55.32,30.48,L
26/05/2020 02:15,94259.74,53.56,31.14,L
31/05/2020 19:35,94923.26,53.7,30.01,M
29/05/2020 01:30,95430.94,50.87,31.04,L
04/06/2020 11:05,94695.48,60.25,30.55,L
26/05/2020 00:00,94318.52,52.08,31.5,M
25/05/2020 19:10,93751.9,49.17,32.48,M
14/05/2020 22:25,94308.7,56.3,30.88,L
29/05/2020 04:45,95122.55,53.15,31.1,L
04/06/2020 14:55,94519.7,53.98,30.86,E
01/06/2020 08:20,95156.97,66.56,25.55,E
29/05/2020 01:50,95326.3,50.71,30.96,L
27/05/2020 05:35,94724.95,56.22,29.62,L
28/05/2020 10:45,94848.01,58.98,30.32,L
28/05/2020 12:15,94883.13,55.75,30.45,E
04/06/2020 10:10,94695.13,61.16,30.13,E
28/05/2020 02:55,94417.57,55.06,31.02,L
01/06/2020 10:55,95237.12,62.43,28.2,E
25/05/2020 18:05,93809.71,46.41,31.92,L
28/05/2020 05:15,94717.8,56.89,30.9,L
25/05/2020 17:15,93859.47,48.07,32.2,L
04/06/2020 12:25,94674.83,59.96,30.65,L
04/06/2020 05:05,94573.87,59.37,30.51,L
01/06/2020 03:30,95078.73,58.7,29.72,L
28/05/2020 03:40,94418.92,55.5,31.04,L
01/06/2020 03:55,95082.18,58.65,29.69,L
04/06/2020 21:20,94508.24,46.06,31.09,L
01/06/2020 09:50,95249.11,63.21,27.82,E
01/06/2020 09:40,95251.01,64.69,27.33,E
04/06/2020 20:30,94472.55,53.32,31.51,L
01/06/2020 11:25,95230.02,60.8,28.73,L
27/05/2020 05:00,94743.45,56.32,29.69,L
29/05/2020 03:10,94989.49,52.24,31.07,L
27/05/2020 07:55,94783.4,62.7,27.2,E
25/05/2020 16:05,93931.87,51.67,32.4,M
28/05/2020 23:40,94998.14,42.66,31.87,L
28/05/2020 23:15,94925.73,43.43,31.61,L
27/05/2020 06:30,94752.11,56.17,29.54,L
26/05/2020 04:45,94516.81,50.1,30.24,L
04/06/2020 15:10,94501.47,54.62,30.9,L
25/05/2020 22:30,94062.98,52.35,31.64,L
27/05/2020 02:15,94811.63,57.37,29.52,L
14/05/2020 23:30,94358.64,59.29,31.01,H
25/05/2020 19:50,93796,43.11,32.58,L
28/05/2020 13:05,94886.21,56.43,30.42,E
04/06/2020 05:10,94572.88,59.4,30.52,L
04/06/2020 20:50,94489.17,48.32,31.38,M
26/05/2020 01:00,94403.65,47.36,31.6,L
26/05/2020 00:20,94346.3,55.53,31.42,M
27/05/2020 07:05,94760.14,56.44,29.5,L
27/05/2020 09:30,94829.91,63.3,27.19,E
01/06/2020 12:40,95183.74,57.28,29.46,L
04/06/2020 10:15,94690.42,61.12,30.21,E
04/06/2020 08:45,94684.8,61.86,29.87,E
04/06/2020 02:00,94642.82,54.29,31.02,L
26/05/2020 02:05,94272.94,53.28,31.32,L
25/05/2020 21:40,94051.77,48.91,32.45,L
28/05/2020 06:20,94699.97,57.04,30.93,L
04/06/2020 07:35,94626.51,62.79,29.68,E
26/05/2020 11:20,94883.57,70.27,27.32,L
04/06/2020 11:10,94693.7,60.28,30.56,L
27/05/2020 02:20,94812.06,57.26,29.56,L
04/06/2020 18:15,94390.19,54.7,31.46,M
04/06/2020 21:00,94496.85,47.18,31.28,L
26/05/2020 05:40,94544.66,56.87,28.85,L
01/06/2020 02:30,95130.24,58.55,29.76,L
14/05/2020 23:50,94374.76,58.17,30.92,H
25/05/2020 17:40,93842.46,45.5,32.33,L
15/05/2020 00:45,94338.49,60.79,30.3,M
27/05/2020 06:35,94758.76,56.25,29.52,L
24/05/2020 12:50,94238.42,53.43,31.81,L
04/06/2020 19:15,94397.16,51.55,31.42,M
26/05/2020 02:55,94209.5,55.67,29.91,L
28/05/2020 04:55,94672.41,56.66,30.92,L
01/06/2020 11:15,95228.04,60.95,28.66,E
